varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
eta,0.96,False,linear,True,1,1.0,-,0.45,0.01,0.96,1.0,0.5,2.0,0.005065514406959015,0.994934485593041,0.22557793664587744,0.47495045704355043,0.0005719877362332295,0.23570030659416907,0.4974672427965205,0.4974672427965205,7.289568940772954e-15,True,True,True,saddle,-6.716730386223861,0.0,0.000571986894762011,0.0,6.717302374788563,0.0,solution
eta,0.96,False,nonlinear,True,1,1.0,upper,0.45,0.01,0.96,1.0,0.5,2.0,0.5010820454339648,0.49891795456603516,0.22437783743354606,0.47368537810823974,0.0005482675061961548,0.23629331234509596,0.49999765835535787,0.4999976583553577,1.6653345369377348e-16,True,True,True,saddle,-1.3797575241488158,0.0,0.0005482675061965203,0.0,1.380305791661124,0.0,solution
eta,0.9675,False,linear,True,1,1.0,-,0.45,0.01,0.9675,1.0,0.5,2.0,0.021344060829801448,0.9786559391701986,0.2295041374154784,0.47906590091080203,0.0024613320938713028,0.23195901249626777,0.4893279695850993,0.4893279695850993,1.6650547034738612e-12,True,True,True,saddle,-3.306311698003694,0.0,0.002461332056801227,0.0,3.308773030117858,0.0,solution
eta,0.9675,False,nonlinear,True,1,1.0,upper,0.45,0.01,0.9675,1.0,0.5,2.0,0.504659733208923,0.495340266791077,0.2243972460452139,0.4737058644826069,0.0023803082873985843,0.23445205269542832,0.4999565737728432,0.4999565737728433,1.1102230246251565e-16,True,True,True,saddle,-1.3842941597068679,0.0,0.002380308287399213,0.0,1.3866744680161958,0.0,solution
eta,0.975,False,linear,True,1,1.0,-,0.45,0.01,0.975,1.0,0.5,2.0,0.03647654797878064,0.9635234520212194,0.23324658486214256,0.48295608999384465,0.0042905189871084584,0.22837924051566144,0.4817617260106097,0.4817617260106097,4.821027359672902e-16,True,True,True,saddle,-2.553364505662168,0.0,0.00429051897769319,0.0,2.5576550246462824,0.0,solution
eta,0.975,False,nonlinear,True,1,1.0,upper,0.45,0.01,0.975,1.0,0.5,2.0,0.5081265151370257,0.49187348486297433,0.22443913545292557,0.47375007699516586,0.004184295760200627,0.23262816959197472,0.4998679195034553,0.4998679195034554,5.551115123125783e-17,True,True,True,saddle,-1.388783941006679,0.0,0.004184295760203405,0.0,1.3929682367770682,0.0,solution
eta,0.9824999999999999,False,linear,True,1,1.0,-,0.45,0.01,0.9824999999999999,1.0,0.5,2.0,0.050593247207304626,0.9494067527926954,0.23682096191016816,0.48664254017725184,0.006063419851293478,0.22494743706894318,0.4747033763963477,0.4747033763963477,7.006516036415219e-16,True,True,True,saddle,-2.1872519572363434,0.0,0.006063419847965323,0.0,2.1933153770688163,0.0,solution
eta,0.9824999999999999,False,nonlinear,True,1,1.0,upper,0.45,0.01,0.9824999999999999,1.0,0.5,2.0,0.5114869299285739,0.4885130700714261,0.224501441836002,0.47381583113695347,0.005960610351352155,0.23082226563701877,0.4997361008816322,0.49973610088163206,1.1102230246251565e-16,True,True,True,saddle,-1.393223707521916,0.0,0.005960610351356088,0.0,1.3991843178751608,0.0,solution
eta,0.99,False,linear,True,1,1.0,-,0.45,0.01,0.99,1.0,0.5,2.0,0.06380406776546665,0.9361959322345333,0.24024091704006884,0.4901437718058538,0.007783481791036707,0.2216518208963291,0.4680979661172667,0.4680979661172667,1.8420418893638496e-16,True,True,True,saddle,-1.9637108432566484,0.0,0.007783481789873425,0.0,1.9714943250425834,0.0,solution
eta,0.99,False,nonlinear,True,1,1.0,upper,0.45,0.01,0.99,1.0,0.5,2.0,0.5147453226043984,0.4852546773956016,0.2245822829807878,0.4739011320737563,0.007709651610436264,0.22903483895637342,0.4995651509225844,0.4995651509225844,3.545252243034676e-17,True,True,True,saddle,-1.3976108407170618,0.0,0.007709651610435575,0.0,1.4053204923111737,0.0,solution
eta,0.9975,False,linear,True,1,1.0,-,0.45,0.01,0.9975,1.0,0.5,2.0,0.0762025590358687,0.9237974409641313,0.24351841864186557,0.49347585416296263,0.009453794822990821,0.21848207080367596,0.46189872048206565,0.46189872048206565,4.549647757099034e-16,True,True,True,saddle,-1.8106654407503067,0.0,0.009453794822799066,0.0,1.8201192355535136,0.0,solution
eta,0.9975,False,nonlinear,True,1,1.0,upper,0.45,0.01,0.9975,1.0,0.5,2.0,0.5179058489447526,0.48209415105524744,0.22467994158412724,0.47400415777092847,0.009431834263150182,0.227266294739932,0.49935876114713557,0.4993587611471354,3.439626138908279e-13,True,True,True,saddle,-1.401943200489298,0.0,0.009431834263140537,0.0,1.4113750347349656,0.0,solution
eta,1.005,False,linear,True,1,1.0,-,0.45,0.01,1.005,1.0,0.5,2.0,0.08786897661042659,0.9121310233895734,0.24666403294557196,0.4966528293945097,0.01107714540682819,0.21542908136564243,0.4560655116947867,0.4560655116947867,2.610152720641782e-16,True,True,True,saddle,-1.698314659487023,0.0,0.011077145407116573,0.0,1.7093918048789916,0.0,solution
