Pbar,m_min,m_max,n_combinations
489.0,0.045,0.0545,20
490.0,0.045,0.054,19
491.0,0.045,0.054,19
492.0,0.045,0.054,19
493.0,0.045,0.054,19
494.0,0.045,0.054,19
495.0,0.045,0.054,19
496.0,0.045,0.054,19
497.0,0.045,0.054,19
498.0,0.045,0.054,19
499.0,0.045,0.054,19
500.0,0.0445,0.054,20
