varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
m,0.07567806242181038,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.07567806242181038,0.30271224968724153,0.5648305707221627,0.4351694292778373,0.7363598791201986,0.8581141410792614,0.02794954550477745,0.0358990910095549,0.07440576195846056,0.07440576195846055,2.4270234612467796e-16,True,True,True,saddle,-0.4291046627183677,0.0,0.027949545504756812,0.0,0.45705420822693876,0.0,solution
m,0.07744083094562405,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.07744083094562405,0.3097633237824962,0.2887219576998111,0.7112780423001889,0.7937821138860649,0.8909445066254491,0.0230249906728493,0.026049981345698598,0.055081962629103365,0.05508196262910336,1.4307502537103404e-13,True,True,True,saddle,-0.32492895917600273,0.0,0.023024990673511898,0.0,0.34795394985199224,0.0,solution
m,0.07744083094562405,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.07744083094562405,0.3097633237824962,0.5650041188685808,0.4349958811314192,0.7315360516844526,0.8552988084198718,0.028371845403685893,0.03674369080737179,0.07613191503371305,0.07613191503371301,4.163336342344337e-17,True,True,True,saddle,-0.43477882236230947,0.0,0.028371845403720508,0.0,0.4631506677597919,0.0,solution
m,0.07924465962305566,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.07924465962305566,0.31697863849222263,0.2884024796438889,0.7115975203561111,0.7896856855221861,0.8886426084327637,0.023370275401752117,0.026740550803504237,0.05639030328923045,0.05639030328923045,1.6410963864612267e-13,True,True,True,saddle,-0.3292913339598264,0.0,0.023370275401910952,0.0,0.352661609379595,0.0,solution
m,0.07924465962305566,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.07924465962305566,0.31697863849222263,0.5651882254989476,0.43481177450105235,0.7266504686773665,0.8524379559107903,0.02880097328004814,0.03760194656009624,0.07789765739513076,0.07789765739513087,1.1102230246251565e-16,True,True,True,saddle,-0.4405492456020315,0.0,0.02880097328004691,0.0,0.4693502188852576,0.0,solution
m,0.08109050486794649,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.08109050486794649,0.32436201947178595,0.2881135574738085,0.7118864425261915,0.7855324211162821,0.8863026690224294,0.02372126631330226,0.02744253262660452,0.05772723103309524,0.05772723103309524,1.8766032450491465e-13,True,True,True,saddle,-0.33370938220468416,0.0,0.023721266313643796,0.0,0.3574306485256404,0.0,solution
m,0.08109050486794649,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.08109050486794649,0.32436201947178595,0.5653829293856607,0.4346170706143393,0.7217033448657951,0.8495312500819467,0.029236979154374662,0.03847395830874931,0.07970388076553098,0.07970388076553099,1.3877787807814457e-17,True,True,True,saddle,-0.44641807295089353,0.0,0.029236979154490278,0.0,0.4756550521078235,0.0,solution
m,0.08297934537187801,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.08297934537187801,0.33191738148751204,0.2878550446948239,0.7121449553051761,0.7813223123754669,0.8839243815935087,0.02407800942764036,0.028156018855280716,0.059093322201108835,0.059093322201108835,2.152584482308909e-13,True,True,True,saddle,-0.33818396287698327,0.0,0.02407800942820582,0.0,0.362261972305712,0.0,solution
m,0.08297934537187801,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.08297934537187801,0.33191738148751204,0.5655882716344,0.43441172836560005,0.7166949393332278,0.8465783716427132,0.029679910920259702,0.03935982184051937,0.08155149608513305,0.08155149608513312,6.938893903907228e-17,True,True,True,saddle,-0.4523875044442374,0.0,0.029679910920222097,0.0,0.4820674153616171,0.0,solution
m,0.0849121826230872,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.0849121826230872,0.3396487304923488,0.287626801470093,0.712373198529907,0.7770553828762579,0.8815074491325968,0.024440549296777147,0.028881098593554286,0.06048916312936421,0.06048916312936421,2.4588434134341746e-13,True,True,True,saddle,-0.34271595833851726,0.0,0.02444054929659167,0.0,0.36715650763443575,0.0,solution
m,0.0849121826230872,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.0849121826230872,0.3396487304923488,0.5658042956455444,0.43419570435445565,0.711625556591594,0.8435790162110447,0.030129814235009978,0.040259628470019924,0.08344143388154167,0.08344143388154177,9.71445146547012e-17,True,True,True,saddle,-0.4584598014014399,0.0,0.03012981423506564,0.0,0.4885896156395628,0.0,solution
m,0.08689004143746876,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.08689004143746876,0.347560165749875,0.28742869458352494,0.7125713054164751,0.7727316889972465,0.8790515849466666,0.02480892892466668,0.02961785784933336,0.06191535025478872,0.061915350254788726,2.8104147559816894e-13,True,True,True,saddle,-0.3473062749796864,0.0,0.02480892892431063,0.0,0.3721152039189961,0.0,solution
m,0.08689004143746876,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.08689004143746876,0.347560165749875,0.566031047074025,0.43396895292597504,0.7064955476627756,0.8405328950509763,0.03058673240902023,0.04117346481804045,0.08537464464458416,0.08537464464458419,1.985430547770007e-16,True,True,True,saddle,-0.4646372885941085,0.0,0.03058673240901308,0.0,0.49522402100199175,0.0,solution
m,0.08891397050194613,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.08891397050194613,0.35565588200778453,0.2872605973939373,0.7127394026060627,0.7683513208365125,0.8765565132018086,0.025183189686395376,0.030366379372790752,0.06337249021889017,0.06337249021889017,3.210021172524527e-13,True,True,True,saddle,-0.3519558440582143,0.0,0.025183189686436746,0.0,0.37713903374832214,0.0,solution
