Pbar,mNL,n_points,E_roots,x_roots,tau_roots
268.0,0.0565,3,15.4517137999; 37.2329058281; 69.7976934731,0.1036292820; 0.1268179061; 0.1366162270,0.1250206297; 0.0395977114; 0.0178675613
268.0,0.057,3,17.1751133032; 30.3568313785; 75.8902787470,0.1072610786; 0.1226503324; 0.1376569347,0.1084849836; 0.0514271554; 0.0160608848
269.0,0.056,3,14.3687238322; 46.1587262777; 61.7201178850,0.1009583358; 0.1306183458; 0.1349854735,0.1379296945; 0.0301562231; 0.0208921839
269.0,0.0565,3,15.5052432605; 36.5692045163; 71.1296938306,0.1037483454; 0.1264690525; 0.1368496212,0.1244599433; 0.0405287066; 0.0174540129
269.0,0.057,3,17.2791794011; 29.8711487636; 76.9957118566,0.1074557709; 0.1222907469; 0.1378254156,0.1076316563; 0.0525201715; 0.0157774552
270.0,0.056,3,14.4046343314; 44.6766964327; 63.8865520503,0.1010481150; 0.1300699612; 0.1354476938,0.1374854795; 0.0314393217; 0.0200108804
270.0,0.0565,3,15.5595712170; 35.9502544141; 72.4166482208,0.1038685236; 0.1261338812; 0.1370682131,0.1238952849; 0.0414333773; 0.0170710836
270.0,0.057,3,17.3875312710; 29.3992163221; 78.0836094264,0.1076564855; 0.1219317415; 0.1379872889,0.1067554604; 0.0536228900; 0.0155075180
271.0,0.056,3,14.4408040215; 43.4754214350; 65.7724765331,0.1011381919; 0.1296022197; 0.1358289680,0.1370405116; 0.0325548574; 0.0192982082
271.0,0.0565,3,15.6147343363; 35.3692650237; 73.6653077262,0.1039898733; 0.1258102189; 0.1372741191,0.1233264248; 0.0423164608; 0.0167142623
271.0,0.057,3,17.5006510759; 28.9389224761; 79.1555981402,0.1078638931; 0.1215720807; 0.1381431193,0.1058538092; 0.0547391094; 0.0152498581
272.0,0.056,3,14.4772406402; 42.4505895501; 67.4821925895,0.1012285801; 0.1291854395; 0.1361589639,0.1365947306; 0.0335652375; 0.0186918165
272.0,0.0565,3,15.6707718432; 34.8209238703; 74.8809428732,0.1041124550; 0.1254963481; 0.1374689963,0.1227531184; 0.0431817225; 0.0163800244
272.0,0.057,3,17.6191126990; 28.4882848654; 80.2130837684,0.1080787895; 0.1212104793; 0.1382933964,0.1049236358; 0.0558729433; 0.0150034250
273.0,0.056,3,14.5139522230; 41.5494939475; 69.0683962982,0.1013192938; 0.1288045739; 0.1364527145,0.1361480746; 0.0345020540; 0.0181601717
273.0,0.0565,3,15.7277257738; 34.3009802643; 76.0677596163,0.1042363332; 0.1251908780; 0.1376541708,0.1221751052; 0.0440322342; 0.0160655555
273.0,0.057,3,17.7436077392; 28.0453849654; 81.2572905548,0.1083021307; 0.1208455535; 0.1384385477,0.1039612594; 0.0570289844; 0.0147673031
274.0,0.056,3,14.5509471203; 40.7411291435; 70.5620821009,0.1014103476; 0.1284507401; 0.1367190874,0.1357004800; 0.0353839338; 0.0176847076
274.0,0.0565,3,15.7856412627; 33.8059680010; 77.2291763512,0.1043615771; 0.1248926583; 0.1378307238,0.1215921064; 0.0448705604; 0.0157685663
274.0,0.057,3,17.8749817347; 27.6083010400; 82.2892920398,0.1085350819; 0.1204757621; 0.1385789494,0.1029621980; 0.0582125144; 0.0145406895
275.0,0.0555,3,13.6788476588; 52.2638328174; 59.6504252223,0.0990439824; 0.1325541390; 0.1344809244,0.1475721664; 0.0258406219; 0.0218758738
275.0,0.056,3,14.5882340150; 40.0054406830; 71.9832931023,0.1015017564; 0.1281181718; 0.1369638342,0.1352518811; 0.0362229581; 0.0172534048
275.0,0.0565,3,15.8445668675; 33.3330141759; 78.3680147744,0.1044882609; 0.1246007196; 0.1379995505,0.1210038237; 0.0456988871; 0.0154871657
275.0,0.057,3,18.0142859875; 27.1750318886; 83.3100354884,0.1087790870; 0.1200993281; 0.1387149344,0.1019209017; 0.0594297888; 0.0143228752
276.0,0.0555,3,13.7058723875; 49.5617306724; 63.0467722969,0.0991170792; 0.1317288547; 0.1352367089,0.1471980008; 0.0276397539; 0.0204108040
276.0,0.056,3,14.6258219425; 39.3285807515; 73.3458654379,0.1015935360; 0.1278028710; 0.1371909370,0.1348022099; 0.0370274977; 0.0168579575
276.0,0.0565,3,15.9045549387; 32.8797034866; 79.4866352111,0.1046164642; 0.1243142312; 0.1381614017,0.1204099368; 0.0465191148; 0.0152197703
276.0,0.057,3,18.1628540401; 26.7434007885; 84.3203614705,0.1090359718; 0.1197141296; 0.1388467988,0.1008303597; 0.0606884444; 0.0141132308
277.0,0.0555,3,13.7329990689; 47.8429835835; 65.4601539532,0.0991902302; 0.1311629112; 0.1357330929,0.1468240333; 0.0289085131; 0.0194762006
277.0,0.056,3,14.6637203110; 38.7005171471; 74.6598192818,0.1016857025; 0.1275019289; 0.1374032886,0.1343513964; 0.0378036414; 0.0164923437
277.0,0.0565,3,15.9656620419; 32.4439794730; 80.5870349525,0.1047462730; 0.1240324696; 0.1383169151,0.1198101012; 0.0473329254; 0.0149650392
277.0,0.057,3,18.3224187856; 26.3109225272; 85.3210197190,0.1093081008; 0.1193175367; 0.1389748078,0.0996815003; 0.0619981115; 0.0139111943
278.0,0.0555,3,13.7602303043; 46.5095685514; 67.4885879757,0.0992634408; 0.1306994471; 0.1361269318,0.1464502372; 0.0299687331; 0.0187502537
278.0,0.056,3,14.7019389241; 38.1137093759; 75.9326827275,0.1017782728; 0.1272131486; 0.1376030689,0.1338993682; 0.0385559878; 0.0161520338
278.0,0.0565,3,16.0279494414; 32.0240710433; 81.6709212463,0.1048777802; 0.1237547953; 0.1384666372,0.1192039451; 0.0481418345; 0.0147218255
278.0,0.057,3,18.4953000653; 25.8746028404; 86.3126820930,0.1095986287; 0.1189061567; 0.1390991997,0.0984622312; 0.0633713828; 0.0137162621
279.0,0.0555,3,13.7875687569; 45.3977969296; 69.2957577575,0.0993367166; 0.1302953774; 0.1364613053,0.1460765853; 0.0309086621; 0.0181447391
279.0,0.056,3,14.7404880047; 37.5623219707; 77.1702784459,0.1018712642; 0.1269348216; 0.1377919690,0.1334460503; 0.0392881162; 0.0158335206
279.0,0.0565,3,16.0914836570; 31.6184367272; 82.7397664856,0.1050110861; 0.1234806350; 0.1386110409,0.1185910669; 0.0489472311; 0.0144891388
279.0,0.057,3,18.6847225231; 25.4306098687; 87.2959532670,0.1099119246; 0.1184754049; 0.1392201896,0.0971558180; 0.0648254432; 0.0135279805
280.0,0.0555,3,13.8150171544; 44.4343180870; 70.9550086347,0.0994100633; 0.1299313321; 0.1367555776,0.1457030500; 0.0317679161; 0.0176200653
280.0,0.056,3,14.7793782210; 37.0417305338; 78.3772176155,0.1019646949; 0.1266655860; 0.1379713325,0.1329913650; 0.0400028819; 0.0155340230
280.0,0.0565,3,16.1563371079; 31.2257216134; 83.7948506280,0.1051462999; 0.1232094670; 0.1387505387,0.1179710307; 0.0497504093; 0.0142661175
280.0,0.057,3,18.8953943929; 24.9736864878; 88.2713796130,0.1102543449; 0.1180187302; 0.1393379727,0.0957379385; 0.0663850219; 0.0133459393
281.0,0.0555,3,13.8425782914; 43.5787674903; 72.5066998013,0.0994834866; 0.1295966167; 0.1370204374,0.1453296035; 0.0325683380; 0.0171544144
