varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
delta,0.00214,False,nonlinear,True,1,1,upper,0.45,0.00214,1.5,1.0,0.5,2.0,0.6146792590613336,0.3853207409386664,0.237337108072116,0.48717256498300066,0.07835078191921659,0.15242156383843314,0.4736973350822871,0.47369733508228706,3.5242740064773144e-16,True,True,True,saddle,-1.5723310806715773,0.0,0.07835078191923667,0.0,1.6506818625689381,0.0,solution
delta,0.002235,False,linear,True,1,1,-,0.45,0.002235,1.5,1.0,0.5,2.0,0.34318019707061076,0.6568198029293892,0.33420144582285,0.5781015878051625,0.06477476182922563,0.12507952365845126,0.3284099014646946,0.3284099014646946,1.7160513975718953e-16,True,True,True,saddle,-1.0122629814983826,0.0,0.06477476182953187,0.0,1.0770377433468938,0.0,solution
delta,0.002235,False,nonlinear,True,1,1,upper,0.45,0.002235,1.5,1.0,0.5,2.0,0.6147452275987032,0.3852547724012968,0.2373526639282819,0.4871885301690526,0.0784117204746421,0.15235344094928424,0.47366706548664367,0.4736670654866436,9.881789716848578e-17,True,True,True,saddle,-1.5724433095619497,0.0,0.078411720474288,0.0,1.6508550300380738,0.0,solution
delta,0.0023299999999999996,False,linear,True,1,1,-,0.45,0.0023299999999999996,1.5,1.0,0.5,2.0,0.3433546716379614,0.6566453283620386,0.33427636709025266,0.5781663835698618,0.06482837579785407,0.12499675159570812,0.3283226641810193,0.3283226641810193,3.247311544151933e-17,True,True,True,saddle,-1.0120315091872476,0.0,0.06482837579645843,0.0,1.0768598850151754,0.0,solution
delta,0.0023299999999999996,False,nonlinear,True,1,1,upper,0.45,0.0023299999999999996,1.5,1.0,0.5,2.0,0.6148111690037067,0.3851888309962933,0.23736822385655793,0.4872044990109984,0.07847265848168357,0.15228531696336714,0.4736367909440047,0.4736367909440046,5.551115123125783e-17,True,True,True,saddle,-1.5725554944108564,0.0,0.07847265848162353,0.0,1.6510281528723125,0.0,solution
delta,0.002425,False,linear,True,1,1,-,0.45,0.002425,1.5,1.0,0.5,2.0,0.343529051054392,0.656470948945608,0.3343512726748051,0.578231158512584,0.06488199288977907,0.12491398577955813,0.328235474472804,0.328235474472804,8.816106429361947e-17,True,True,True,saddle,-1.0118003470298904,0.0,0.06488199288929627,0.0,1.0766823399607635,0.0,solution
delta,0.002425,False,nonlinear,True,1,1,upper,0.45,0.002425,1.5,1.0,0.5,2.0,0.6148770832946735,0.3851229167053265,0.23738378785118786,0.48722047150257125,0.078533595941281,0.15221719188256197,0.4736065114674172,0.4736065114674173,3.8544033490724134e-16,True,True,True,saddle,-1.5726676352089914,0.0,0.0785335959413378,0.0,1.6512012311411322,0.0,solution
delta,0.0025199999999999997,False,linear,True,1,1,-,0.45,0.0025199999999999997,1.5,1.0,0.5,2.0,0.3437033354007938,0.6562966645992062,0.33442616258134317,0.5782959126445069,0.06493561310332398,0.12483122620664795,0.3281483322996031,0.3281483322996031,4.1769857895169855e-17,True,True,True,saddle,-1.0115694944645606,0.0,0.06493561310334249,0.0,1.076505107536936,0.0,solution
delta,0.0025199999999999997,False,nonlinear,True,1,1,upper,0.45,0.0025199999999999997,1.5,1.0,0.5,2.0,0.6149429704899166,0.38505702951008336,0.23739935590642378,0.48723644763751384,0.07859453285437291,0.15214906570874584,0.47357622706990826,0.4735762270699083,5.551115123125783e-17,True,True,True,saddle,-1.5727797320231742,0.0,0.07859453285416396,0.0,1.6513742648902647,0.0,solution
delta,0.002615,False,linear,True,1,1,-,0.45,0.002615,1.5,1.0,0.5,2.0,0.3438775247579634,0.6561224752420366,0.33450103681470045,0.5783606459767991,0.06498923643681347,0.12474847287362693,0.3280612376210183,0.3280612376210183,8.820055379775855e-17,True,True,True,saddle,-1.0113389507134491,0.0,0.0649892364373961,0.0,1.07632818713668,0.0,solution
delta,0.002615,False,nonlinear,True,1,1,upper,0.45,0.002615,1.5,1.0,0.5,2.0,0.6150088306077299,0.38499116939227007,0.23741492801652567,0.4872524274095776,0.07865546922189669,0.15208093844379342,0.47354593776448506,0.47354593776448495,1.1102230246251565e-16,True,True,True,saddle,-1.5728917848963604,0.0,0.07865546922197439,0.0,1.6515472541140659,0.0,solution
delta,0.0027099999999999997,False,linear,True,1,1,-,0.45,0.0027099999999999997,1.5,1.0,0.5,2.0,0.34405161920660143,0.6559483807933986,0.334575895379708,0.5784253585206202,0.06504286288857365,0.1246657257771473,0.3279741903966993,0.3279741903966993,3.2502212971823815e-17,True,True,True,saddle,-1.0111087151943954,0.0,0.0650428628893503,0.0,1.076151578089908,0.0,solution
delta,0.0027099999999999997,False,nonlinear,True,1,1,upper,0.45,0.0027099999999999997,1.5,1.0,0.5,2.0,0.6150746636663905,0.3849253363336095,0.23743050417576156,0.48726841081252287,0.07871640504478823,0.15201281008957648,0.47351564356413417,0.4735156435641342,4.580064116914536e-16,True,True,True,saddle,-1.5730037938464263,0.0,0.0787164050446926,0.0,1.6517201988538548,0.0,solution
delta,0.0028049999999999998,False,linear,True,1,1,-,0.45,0.0028049999999999998,1.5,1.0,0.5,2.0,0.3442256188273144,0.6557743811726856,0.33465073828119474,0.5784900502871201,0.06509649245693198,0.12458298491386398,0.3278871905863428,0.3278871905863428,2.3221059677974355e-17,True,True,True,saddle,-1.010878787363918,0.0,0.0650964924584481,0.0,1.0759752797829405,0.0,solution
delta,0.0028049999999999998,False,nonlinear,True,1,1,upper,0.45,0.0028049999999999998,1.5,1.0,0.5,2.0,0.6151404696841593,0.38485953031584075,0.2374460843784077,0.48728439784011934,0.0787773403239821,0.1519446806479642,0.47348534448182245,0.4734853444818224,5.551115123125783e-17,True,True,True,saddle,-1.5731157588667855,0.0,0.07877734032413367,0.0,1.651893099161348,0.0,solution
delta,0.0029,False,linear,True,1,1,-,0.45,0.0029,1.5,1.0,0.5,2.0,0.34439952370061344,0.6556004762993866,0.334725565523987,0.5785547212874397,0.06515012514021738,0.12450025028043477,0.3278002381496933,0.3278002381496933,9.755025781604431e-17,True,True,True,saddle,-1.0106491664418258,0.0,0.06515012514104906,0.0,1.0757992916082093,0.0,solution
